Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.52033","20.37509","12.52000"
"0.52127","20.38319","12.54000"
"0.52214","20.40318","12.56000"
"0.52303","20.42073","12.58000"
"0.52381","20.43334","12.60000"
"0.52447","20.43780","12.62000"
"0.52525","20.43880","12.64000"
"0.52626","20.44838","12.66000"
"0.52733","20.46913","12.68000"
"0.52836","20.49006","12.70000"
"0.52910","20.50202","12.72000"
"0.52965","20.49827","12.74000"
"0.53034","20.48902","12.76000"
"0.53126","20.49254","12.78000"
"0.53216","20.51025","12.80000"
"0.53305","20.52834","12.82000"
"0.53386","20.54175","12.84000"
"0.53449","20.54663","12.86000"
"0.53521","20.54555","12.88000"
"0.53617","20.55148","12.90000"
"0.53726","20.57065","12.92000"
"0.53835","20.59447","12.94000"
"0.53919","20.61102","12.96000"
"0.53975","20.61065","12.98000"
"0.54040","20.59989","13.00000"
"0.54129","20.59870","13.02000"
"0.54219","20.61345","13.04000"
"0.54306","20.63092","13.06000"
"0.54390","20.64464","13.08000"
"0.54454","20.65130","13.10000"
"0.54522","20.65023","13.12000"
"0.54613","20.65366","13.14000"
"0.54723","20.67100","13.16000"
"0.54834","20.69553","13.18000"
"0.54927","20.71498","13.20000"
"0.54985","20.71798","13.22000"
"0.55044","20.70682","13.24000"
"0.55127","20.70089","13.26000"
"0.55218","20.71233","13.28000"
"0.55304","20.73031","13.30000"
"0.55391","20.74479","13.32000"
"0.55460","20.75319","13.34000"
"0.55524","20.75353","13.36000"
"0.55608","20.75411","13.38000"
"0.55713","20.76663","13.40000"
"0.55824","20.78968","13.42000"
"0.55925","20.81132","13.44000"
"0.55991","20.82005","13.46000"
"0.56047","20.81175","13.48000"
"0.56123","20.80237","13.50000"
"0.56216","20.80897","13.52000"
"0.56301","20.82672","13.54000"
"0.56389","20.84221","13.56000"
"0.56463","20.85281","13.58000"
"0.56526","20.85502","13.60000"
"0.56603","20.85388","13.62000"
"0.56704","20.86201","13.64000"
"0.56816","20.88302","13.66000"
"0.56923","20.90646","13.68000"
"0.56999","20.91990","13.70000"
"0.57053","20.91476","13.72000"
"0.57122","20.90278","13.74000"
"0.57212","20.90398","13.76000"
"0.57298","20.91938","13.78000"
"0.57385","20.93545","13.80000"
"0.57465","20.94795","13.82000"
"0.57529","20.95311","13.84000"
"0.57601","20.95227","13.86000"
"0.57698","20.95755","13.88000"
"0.57809","20.97628","13.90000"
"0.57918","20.99949","13.92000"
"0.58004","21.01529","13.94000"
"0.58059","21.01442","13.96000"
"0.58121","21.00203","13.98000"
"0.58208","20.99787","14.00000"
"0.58299","21.01101","14.02000"
"0.58385","21.02841","14.04000"
"0.58470","21.04189","14.06000"
"0.58537","21.04933","14.08000"
"0.58606","21.04859","14.10000"
"0.58699","21.05105","14.12000"
"0.58808","21.06750","14.14000"
"0.58916","21.09046","14.16000"
"0.59006","21.10674","14.18000"
"0.59066","21.10835","14.20000"
"0.59123","21.09709","14.22000"
"0.59203","21.08971","14.24000"
"0.59296","21.09936","14.26000"
"0.59384","21.11800","14.28000"
"0.59473","21.13359","14.30000"
"0.59545","21.14332","14.32000"
"0.59610","21.14412","14.34000"
"0.59694","21.14328","14.36000"
"0.59800","21.15385","14.38000"
"0.59910","21.17561","14.40000"
"0.60010","21.19602","14.42000"
"0.60078","21.20366","14.44000"
"0.60131","21.19471","14.46000"
"0.60205","21.18319","14.48000"
"0.60297","21.18714","14.50000"
"0.60385","21.20435","14.52000"
"0.60473","21.22074","14.54000"
"0.60549","21.23211","14.56000"
"0.60612","21.23384","14.58000"
"0.60687","21.23154","14.60000"
"0.60789","21.23876","14.62000"
"0.60898","21.25880","14.64000"
"0.61004","21.28101","14.66000"
"0.61083","21.29421","14.68000"
"0.61138","21.29038","14.70000"
