Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.69944","10.28856","14.02000"
"0.70046","10.30605","14.04000"
"0.70151","10.32567","14.06000"
"0.70240","10.34576","14.08000"
"0.70327","10.36373","14.10000"
"0.70440","10.38124","14.12000"
"0.70565","10.40248","14.14000"
"0.70685","10.42719","14.16000"
"0.70770","10.45144","14.18000"
"0.70846","10.46963","14.20000"
"0.70944","10.48451","14.22000"
"0.71048","10.50147","14.24000"
"0.71154","10.52118","14.26000"
"0.71247","10.54199","14.28000"
"0.71332","10.56065","14.30000"
"0.71440","10.57772","14.32000"
"0.71562","10.59769","14.34000"
"0.71682","10.62155","14.36000"
"0.71771","10.64596","14.38000"
"0.71845","10.66490","14.40000"
"0.71940","10.67951","14.42000"
"0.72044","10.69601","14.44000"
"0.72150","10.71566","14.46000"
"0.72247","10.73675","14.48000"
"0.72332","10.75638","14.50000"
"0.72433","10.77382","14.52000"
"0.72553","10.79316","14.54000"
"0.72676","10.81662","14.56000"
"0.72775","10.84153","14.58000"
"0.72850","10.86192","14.60000"
"0.72942","10.87799","14.62000"
"0.73047","10.89467","14.64000"
"0.73153","10.91391","14.66000"
"0.73251","10.93488","14.68000"
"0.73331","10.95445","14.70000"
"0.73425","10.97115","14.72000"
"0.73543","10.98913","14.74000"
"0.73670","11.01161","14.76000"
"0.73780","11.03739","14.78000"
"0.73858","11.06041","14.80000"
"0.73946","11.07768","14.82000"
"0.74049","11.09401","14.84000"
"0.74151","11.11291","14.86000"
"0.74252","11.13317","14.88000"
"0.74334","11.15273","14.90000"
"0.74424","11.16971","14.92000"
"0.74541","11.18711","14.94000"
"0.74669","11.20920","14.96000"
"0.74785","11.23501","14.98000"
"0.74866","11.25892","15.00000"
"0.74948","11.27664","15.02000"
"0.75048","11.29242","15.04000"
"0.75148","11.31051","15.06000"
"0.75251","11.33023","15.08000"
"0.75337","11.35006","15.10000"
"0.75426","11.36748","15.12000"
"0.75540","11.38503","15.14000"
"0.75666","11.40662","15.16000"
"0.75784","11.43196","15.18000"
"0.75866","11.45611","15.20000"
"0.75943","11.47401","15.22000"
"0.76042","11.48888","15.24000"
"0.76146","11.50634","15.26000"
"0.76253","11.52654","15.28000"
"0.76343","11.54771","15.30000"
"0.76428","11.56628","15.32000"
"0.76538","11.58324","15.34000"
"0.76665","11.60379","15.36000"
"0.76787","11.62912","15.38000"
"0.76873","11.65394","15.40000"
"0.76947","11.67271","15.42000"
"0.77040","11.68754","15.44000"
"0.77142","11.70409","15.46000"
"0.77249","11.72360","15.48000"
"0.77346","11.74503","15.50000"
"0.77429","11.76444","15.52000"
"0.77534","11.78173","15.54000"
"0.77656","11.80180","15.56000"
"0.77778","11.82611","15.58000"
"0.77873","11.85121","15.60000"
"0.77947","11.87144","15.62000"
"0.78040","11.88719","15.64000"
"0.78144","11.90380","15.66000"
"0.78252","11.92360","15.68000"
"0.78352","11.94498","15.70000"
"0.78436","11.96511","15.72000"
"0.78535","11.98251","15.74000"
"0.78654","12.00147","15.76000"
"0.78776","12.02464","15.78000"
"0.78879","12.04977","15.80000"
"0.78954","12.07116","15.82000"
"0.79042","12.08687","15.84000"
"0.79146","12.10321","15.86000"
"0.79252","12.12253","15.88000"
"0.79355","12.14359","15.90000"
"0.79438","12.16375","15.92000"
"0.79529","12.18081","15.94000"
"0.79644","12.19852","15.96000"
"0.79768","12.22065","15.98000"
"0.79879","12.24589","16.00000"
"0.79958","12.26859","16.02000"
"0.80043","12.28550","16.04000"
"0.80148","12.30117","16.06000"
"0.80253","12.31986","16.08000"
"0.80358","12.34095","16.10000"
"0.80441","12.36132","16.12000"
"0.80529","12.37897","16.14000"
"0.80643","12.39619","16.16000"
"0.80769","12.41775","16.18000"
"0.80886","12.44321","16.20000"
